,rank,name,net_worth (in billion $),age,country / territory,source,industry
1328,1312,Bruce Karsh,2.3,67.0,United States,Private equity,Finance & Investments
1329,1312,Lirio Parisotto,2.3,69.0,Brazil,Investments,Finance & Investments
1330,1312,Lang Walker,2.3,77.0,Australia,Real estate,Real Estate
1331,1312,John Bicket,2.3,43.0,United States,Sensor systems,Technology
1332,1312,Long Jiang,2.3,49.0,China,Manufacturing,Technology
1333,1312,David Nahmad,2.3,75.0,Monaco,Art collection,Fashion & Retail
1334,1312,Georg von Opel,2.3,56.0,Switzerland,"Real estate, investments",Finance & Investments
1335,1312,Lee Bass,2.3,66.0,United States,"Oil, investments",Energy
1336,1312,Justin Ishbia,2.3,45.0,United States,Private equity,Finance & Investments
1337,1312,David Murdock,2.3,99.0,United States,"Dole, real estate",Food & Beverage
1338,1312,Jayshree Ullal,2.3,62.0,United States,Computer networking,Technology
1339,1312,John Armitage,2.3,63.0,Ireland,Hedge funds,Finance & Investments
1340,1312,Erman Ilicak,2.3,55.0,Turkey,Construction,Construction & Engineering
1341,1312,Vadim Moshkovich,2.3,55.0,Russia,"Agriculture, land",Food & Beverage
1342,1312,T.Y. Tsai,2.3,70.0,Taiwan,Finance,Finance & Investments
1343,1312,Georg Haub,2.3,61.0,Germany,Retail,Fashion & Retail
1344,1312,Mi Enhua,2.3,65.0,China,Retail,Fashion & Retail
1345,1312,Tian Ming,2.3,69.0,China,Measuring instruments,Technology
1346,1312,John Fisher,2.3,61.0,United States,Gap,Fashion & Retail
1347,1312,Clayton Mathile,2.3,82.0,United States,Pet food,Food & Beverage
1348,1312,Tang Yiu,2.3,89.0,Hong Kong,Fashion retail,Fashion & Retail
1349,1312,Daniel Ek,2.3,40.0,Sweden,Spotify,Technology
1350,1312,Kishore Mariwala,2.3,88.0,India,Consumer goods,Food & Beverage
1351,1312,Stefan Soloviev,2.3,47.0,United States,Real estate,Real Estate
1352,1312,Thomas Duff,2.3,66.0,United States,"Tires, diversified",Diversified
1353,1312,Lim Kok Thay,2.3,71.0,Malaysia,Casinos,Gambling & Casinos
1354,1312,Alberto Siccardi & family,2.3,78.0,Switzerland,Medical devices,Healthcare
1355,1312,Chao Teng-hsiung,2.3,78.0,Taiwan,Real estate,Real Estate
1356,1312,Lam Kong,2.3,58.0,China,Pharmaceuticals,Healthcare
1357,1312,Alberto Prada,2.3,69.0,Italy,Luxury goods,Fashion & Retail
1358,1312,Paul-Heinz Wesjohann & family,2.3,79.0,Germany,Chicken processing,Food & Beverage
1359,1312,Morris Chang,2.3,91.0,Taiwan,Semiconductors,Technology
1362,1312,Wang Zhenhua,2.3,61.0,China,Real estate,Real Estate
1363,1312,Samuel Chen,2.3,73.0,Taiwan,Investments,Finance & Investments
1364,1312,Stephen Lansdown,2.3,70.0,Guernsey,Financial services,Finance & Investments
1365,1312,Marina Prada,2.3,77.0,Italy,Luxury goods,Fashion & Retail
1366,1312,Xie Bingkun & family,2.3,56.0,China,Pearlescent pigments,Fashion & Retail
1367,1368,Fu Guangming & family,2.2,69.0,China,Poultry,Food & Beverage
1368,1368,Harald Link,2.2,68.0,Thailand,Diversified,Diversified
1369,1368,Thi Phuong Thao Nguyen,2.2,52.0,Vietnam,Airlines,Diversified
1370,1368,Huijiao Yu,2.2,57.0,China,Package delivery,Logistics
1371,1368,Noam Gottesman,2.2,61.0,United States,Hedge funds,Finance & Investments
1372,1368,Max Lytvyn,2.2,43.0,Canada,Software,Technology
1373,1368,Ni Yongpei & family,2.2,71.0,China,Beverages,Food & Beverage
1374,1368,Harley Sy,2.2,63.0,Philippines,Diversified,Diversified
1375,1368,Oren Zeev,2.2,58.0,Israel,Investments,Finance & Investments
1376,1368,Jeffrey Gundlach,2.2,64.0,United States,Investments,Finance & Investments
1377,1368,Igor Makarov,2.2,60.0,Russia,Investments,Energy
1378,1368,Heloise Pratt,2.2,60.0,Australia,"Manufacturing, investment",Manufacturing
1379,1368,Teresita Sy-Coson,2.2,72.0,Philippines,Diversified,Diversified
1380,1368,Clayton Zekelman,2.2,54.0,Canada,Steel,Manufacturing
1381,1368,Chen Xueli,2.2,71.0,China,Pharmaceuticals,Healthcare
1382,1368,Lai Shixian,2.2,48.0,China,Sports apparel,Fashion & Retail
1383,1368,Kavitark Ram Shriram,2.2,66.0,United States,"Venture capital, Google",Technology
1384,1368,David Wertheim,2.2,65.0,Israel,Coca-Cola Israel,Food & Beverage
1385,1368,Chen Jinxia,2.2,55.0,China,Investments,Finance & Investments
1386,1368,Willis Johnson,2.2,75.0,United States,Damaged cars,Automotive
1387,1368,Alex Shevchenko,2.2,43.0,Canada,Software,Technology
1388,1368,Wang Zhenghua,2.2,78.0,China,Budget airline,Service
1389,1368,J. Hyatt Brown,2.2,85.0,United States,Insurance,Finance & Investments
1390,1368,James Jannard,2.2,73.0,United States,Sunglasses,Fashion & Retail
1391,1368,Alice Schwartz,2.2,96.0,United States,Biotech,Healthcare
1392,1368,Wang Wenmo,2.2,66.0,China,Sports apparel,Fashion & Retail
1393,1368,Brett Blundy,2.2,63.0,Australia,"Retail, agribusiness",Fashion & Retail
1394,1368,Thomas James,2.2,80.0,United States,Finance,Finance & Investments
1395,1368,"Karl Scheufele, III. & family",2.2,84.0,Switzerland,Jewelry,Fashion & Retail
1396,1368,Radha Vembu,2.2,50.0,India,Business software,Technology
1397,1368,Aneel Bhusri,2.2,57.0,United States,Business software,Technology
1398,1368,Chulong Huang,2.2,64.0,Canada,Real estate,Real Estate
1399,1368,Chad Richison,2.2,52.0,United States,Payroll processing,Technology
1400,1368,Shamsheer Vayalil,2.2,46.0,India,Healthcare,Healthcare
1401,1368,Sezai Bacaksiz,2.2,73.0,Turkey,Diversified,Diversified
1402,1368,Lutz Mario Helmig & family,2.2,76.0,Germany,Hospitals,Healthcare
1403,1368,Jerry Reinsdorf,2.2,87.0,United States,Sports teams,Sports
1404,1368,Lottie Tham & family,2.2,73.0,Sweden,H&M,Fashion & Retail
1405,1368,Albert Avdolyan,2.2,52.0,Russia,"Oil, mining",Energy
1406,1368,Hans-Werner Hector,2.2,83.0,Germany,SAP,Technology
1407,1368,Adam Neumann,2.2,44.0,Israel,WeWork,Real Estate
1408,1368,Prathap Reddy,2.2,91.0,India,Healthcare,Healthcare
1409,1368,Tang Xiao'ou,2.2,55.0,Hong Kong,Software,Technology
1410,1368,Brian Armstrong,2.2,40.0,United States,Cryptocurrency,Finance & Investments
1411,1368,Shmuel Harlap,2.2,78.0,Israel,Automotive,Automotive
1412,1368,Charles Munger,2.2,99.0,United States,Berkshire Hathaway,Finance & Investments
1413,1368,Phillip T. (Terry) Ragon,2.2,73.0,United States,Health IT,Technology
1414,1368,Tang Jinkui & family,2.2,67.0,China,"Textiles, petrochemicals",Manufacturing
1415,1368,George Argyros & family,2.2,86.0,United States,"Real estate, investments",Real Estate
1416,1368,Hao Hong,2.2,67.0,United States,Pharmaceuticals,Healthcare
1417,1368,Howard Marks,2.2,76.0,United States,Private equity,Finance & Investments
1418,1368,Qi Xiangdong,2.2,52.0,China,Software,Technology
1419,1368,Katsumi Tada,2.2,77.0,Japan,Real estate,Real Estate
1420,1368,Zhao Fenggang,2.2,57.0,China,Batteries,Energy
1421,1368,Dong Wei,2.2,52.0,China,Pharmaceuticals,Healthcare
1422,1368,Solomon Lew,2.2,78.0,Australia,Retail,Fashion & Retail
1423,1368,William Stone,2.2,67.0,United States,Software,Technology
1424,1368,Xu Yingzhuo,2.2,55.0,China,Agribusiness,Food & Beverage
1425,1368,Dermot Desmond,2.2,72.0,Ireland,Finance,Finance & Investments
1426,1368,Chris Larsen,2.2,62.0,United States,Cryptocurrency,Finance & Investments
1427,1368,Jeffrey Soffer,2.2,55.0,United States,Real estate,Real Estate
1428,1368,Kai Wu,2.2,55.0,China,Batteries,Energy
1429,1368,Tom Ford,2.2,61.0,United States,Fashion,Fashion & Retail
1430,1368,Liang Xinjun,2.2,55.0,China,Conglomerate,Diversified
1431,1368,Henry Swieca,2.2,65.0,United States,Hedge funds,Finance & Investments
1432,1368,Yeung Kin-man,2.2,59.0,Hong Kong,Electronics,Manufacturing
1433,1434,Domenico Dolce,2.1,64.0,Italy,Luxury goods,Fashion & Retail
1434,1434,Bahaa Hariri,2.1,56.0,Lebanon,"Real estate, investments",Real Estate
1435,1434,Sergey Lomakin,2.1,49.0,Russia,Retail,Fashion & Retail
1436,1434,Raveendran Byju,2.1,41.0,India,Education technology,Technology
1437,1434,Wei Ing-Chou,2.1,69.0,Taiwan,"Food, beverages",Food & Beverage
1438,1434,Ralph Dommermuth,2.1,59.0,Germany,Internet service provider,Technology
1439,1434,Hortensia Herrero,2.1,72.0,Spain,Supermarkets,Fashion & Retail
1440,1434,Daniel Lubetzky,2.1,54.0,United States,Snack bars,Food & Beverage
1441,1434,P.P. Reddy,2.1,65.0,India,Infrastructure,Construction & Engineering
1442,1434,Wei Yin-Chun,2.1,66.0,Taiwan,"Food, beverages",Food & Beverage
1443,1434,Georgi Domuschiev,2.1,50.0,Bulgaria,"Animal health, investments",Diversified
1444,1434,Douglas Hsu,2.1,80.0,Taiwan,Diversified,Diversified
1446,1434,Richard Saghian,2.1,41.0,United States,Fast fashion,Fashion & Retail
1447,1434,Wei Yin-Heng,2.1,64.0,Taiwan,"Food, beverages",Food & Beverage
1448,1434,Bruce Cheng,2.1,86.0,Taiwan,Electronics,Technology
1449,1434,Harsh Goenka,2.1,65.0,India,Diversified,Diversified
1450,1434,Christian Latouche & family,2.1,82.0,France,Accounting services,Finance & Investments
1451,1434,Zugen Ni,2.1,66.0,China,Appliances,Manufacturing
1452,1434,Torsten Toeller,2.1,56.0,Germany,Pet food,Fashion & Retail
1453,1434,Cao Ji,2.1,71.0,China,Manufacturing,Manufacturing
1454,1434,Dennis Gillings,2.1,78.0,United Kingdom,Clinical trials,Healthcare
1455,1434,Marc Lasry,2.1,62.0,United States,Hedge funds,Finance & Investments
1456,1434,Alexander Nesis,2.1,60.0,Russia,"Metals, banking, fertilizers",Finance & Investments
1457,1434,Alexander Svetakov,2.1,55.0,Russia,Real estate,Finance & Investments
1458,1434,Zhao Tao,2.1,57.0,Singapore,Pharmaceuticals,Healthcare
1459,1434,Anand Burman,2.1,70.0,India,Consumer goods,Food & Beverage
1460,1434,Kamal Ghaffarian,2.1,64.0,United States,"Space, energy",Energy
1462,1434,Eugene Murtagh,2.1,80.0,Ireland,Building materials,Manufacturing
1463,1434,Sun Mengquan & family,2.1,73.0,China,Edible oil,Food & Beverage
1464,1434,Zhang Ning & family,2.1,49.0,Canada,Chemicals,Manufacturing
1465,1434,William Boyd & family,2.1,91.0,United States,"Casinos, banking",Gambling & Casinos
1466,1434,Gordon Getty,2.1,89.0,United States,Getty Oil,Energy
1467,1434,Thomas Kwok,2.1,71.0,Hong Kong,Real estate,Real Estate
1468,1434,Mu Rongjun,2.1,43.0,China,E-commerce,Technology
1469,1434,Edward Stack,2.1,68.0,United States,Dick's Sporting Goods,Fashion & Retail
1470,1434,Yuan Fugen & family,2.1,72.0,China,Metal processing,Manufacturing
1471,1434,Olivier Bouygues,2.1,72.0,France,"Construction, media",Construction & Engineering
1472,1434,Xingjiang Gao,2.1,59.0,China,Steel,Manufacturing
1473,1434,Andrei Krivenko,2.1,47.0,Russia,Retail,Food & Beverage
1474,1434,Nirmal Minda,2.1,65.0,India,Auto parts,Automotive
1475,1434,Venu Srinivasan,2.1,70.0,India,Two-wheelers,Automotive
1476,1434,Yu Qibing & family,2.1,57.0,China,Glass,Manufacturing
1477,1434,Martin Bouygues,2.1,71 years,France,"Construction, media",Construction & Engineering
1478,1434,Stefano Gabbana,2.1,60.0,Italy,Luxury goods,Fashion & Retail
1479,1434,Artem Khachatryan,2.1,48.0,Russia,Retail,Fashion & Retail
1480,1434,Kiran Mazumdar-Shaw,2.1,70.0,India,Biopharmaceuticals,Healthcare
1481,1434,Timothy Springer,2.1,75.0,United States,Biotech,Healthcare
1482,1434,Michael Ying,2.1,73.0,Hong Kong,Retail,Fashion & Retail
1483,1434,Travis Boersma,2.1,52.0,United States,Coffee,Food & Beverage
1484,1434,Paul Foster,2.1,65.0,United States,Oil refining,Energy
1485,1434,Eugene Kaspersky,2.1,57.0,Russia,Software,Technology
1486,1434,Katarina Martinson,2.1,41.0,Sweden,Investments,Diversified
1487,1434,Shu Ping,2.1,53.0,Singapore,Restaurants,Food & Beverage
1488,1434,Xu Xudong & family,2.1,53.0,China,Auto parts,Automotive
1489,1434,Alex Beard,2.1,55.0,United Kingdom,"Mining, commodities",Metals & Mining
1490,1434,Bob Ell,2.1,78.0,Australia,Real estate,Real Estate
1491,1434,Jared Isaacman,2.1,40.0,United States,Payment processing,Technology
1492,1434,Rafique Malik,2.1,72.0,India,Footwear,Fashion & Retail
1493,1434,Thaksin Shinawatra,2.1,73.0,Thailand,Investments,Finance & Investments
1494,1434,Elaine Wynn,2.1,80.0,United States,"Casinos, hotels",Gambling & Casinos
1495,1434,Kiril Domuschiev,2.1,53.0,Bulgaria,"Animal health, investments",Diversified
1496,1434,Huang Min,2.1,49.0,China,Machinery,Manufacturing
1497,1434,Anand Mahindra,2.1,67.0,India,Diversified,Diversified
1498,1434,Shi Yifeng,2.1,49.0,China,Medical cosmetics,Healthcare
1499,1434,Wei Ying-Chiao,2.1,68.0,Taiwan,"Food, beverages",Food & Beverage
1500,1434,Daniel Chiu,2.1,62.0,Hong Kong,Oil & gas,Energy
1501,1434,Jane Goldman,2.1,67.0,United States,Real estate,Real Estate
1502,1434,Lin Chang Su-O,2.1,82.0,Taiwan,Real estate,Real Estate
1503,1434,Victor Pinchuk,2.1,62.0,Ukraine,"Steel pipes, diversified",Metals & Mining
1504,1434,Hamdi Ulukaya,2.1,50.0,Turkey,Greek yogurt,Food & Beverage
1505,1434,Chi Yufeng,2.1,52.0,China,Software,Technology
1506,1434,Sanjiv Goenka,2.1,62.0,India,Diversified,Diversified
1507,1434,Theodore Leonsis,2.1,67.0,United States,Sports teams,Sports
1508,1434,Florentino Perez,2.1,76.0,Spain,Construction,Construction & Engineering
1509,1434,Barbara Tyson,2.1,74.0,United States,Food processing,Food & Beverage
1510,1434,Beda Diethelm,2.1,82.0,Switzerland,Hearing aids,Healthcare
1511,1434,Stein Erik Hagen,2.1,66.0,Norway,Consumer goods,Fashion & Retail
1512,1434,Liu Chengyu & family,2.1,60.0,China,Power supply equipment,Manufacturing
1513,1434,Leonid Radvinsky,2.1,40.0,United States,E-commerce,Technology
1514,1434,Wang Linpeng,2.1,54.0,China,Furniture retailing,Construction & Engineering
1515,1516,Pavel Baudis,2.0,62.0,Czech Republic,Software,Technology
1516,1516,Michael Jordan,2.0,60.0,United States,"Charlotte Hornets, endorsements",Sports
1517,1516,Oei Hong Leong,2.0,75.0,Singapore,Investments,Finance & Investments
1518,1516,Ion Tiriac,2.0,83.0,Romania,"Banking, insurance",Finance & Investments
1519,1516,Wilhelm Beier & family,2.0,66.0,Germany,Pharmaceuticals,Healthcare
1520,1516,Diane Kemper,2.0,77.0,United States,Real estate,Real Estate
1521,1516,Clive Palmer,2.0,69.0,Australia,Mining,Metals & Mining
1522,1516,Hope Welker,2.0,37.0,Australia,Mining,Metals & Mining
1523,1516,Cao Jianwei,2.0,44.0,China,Semiconductors,Manufacturing
1524,1516,Shlomo Kramer,2.0,57.0,Israel,"Software, investments",Technology
1525,1516,Matthew Prince,2.0,48.0,United States,Cybersecurity,Technology
1526,1516,William Young,2.0,82.0,United States,Plastics,Manufacturing
1527,1516,Anu Aga,2.0,80.0,India,Engineering,Construction & Engineering
1528,1516,Hu Yangzhong,2.0,58.0,China,Technology,Technology
1529,1516,Alexander Mamut,2.0,63.0,Russia,Investments,Finance & Investments
1530,1516,Sylvia Stroeher,2.0,67.0,Germany,Cosmetics,Fashion & Retail
1531,1516,John Hancock,2.0,47.0,Australia,Mining,Metals & Mining
1532,1516,Bill Malhotra,2.0,73.0,Canada,Real estate,Real Estate
1533,1516,Michal Strnad,2.0,30.0,Czech Republic,Defense Contracting,Manufacturing
1534,1516,Amy Goldman Fowler,2.0,68.0,United States,Real estate,Real Estate
1535,1516,Aloke Lohia,2.0,64.0,India,Petrochemicals,Manufacturing
1536,1516,Zygmunt Solorz-Zak,2.0,66.0,Poland,TV broadcasting,Media & Entertainment
1537,1516,Zhu Yiwen & family,2.0,59.0,China,Healthcare,Healthcare
1538,1516,Mario Germano Giuliani,2.0,51.0,Switzerland,Pharmaceuticals,Healthcare
1539,1516,Lin Fanlian,2.0,61.0,China,"Energy, real estate",Energy
1540,1516,Bhadresh Shah,2.0,71.0,India,Engineering,Manufacturing
1541,1516,Zhou Jian,2.0,46.0,China,Solar energy equipment,Energy
1542,1516,William Franke,2.0,85.0,United States,Low-cost airlines,Diversified
1543,1516,Liang Zhaoxian,2.0,58.0,China,Appliances,Manufacturing
1544,1516,T. Denny Sanford,2.0,87.0,United States,"Banking, credit cards",Finance & Investments
1545,1516,Hongfei Zhao,2.0,48.0,China,Software,Technology
1546,1516,Maria Franca Fissolo,2.0,88.0,Italy,"Nutella, chocolates",Food & Beverage
1547,1516,Liang Rubo,2.0,40.0,China,TikTok,Technology
1548,1516,Ginia Rinehart,2.0,36.0,Australia,Mining,Metals & Mining
1549,1516,Zhang Wanzhen,2.0,73.0,China,Electronics components,Manufacturing
1550,1516,Dou Zhenggang,2.0,69.0,China,"Energy, chemicals",Diversified
1551,1516,Li Min,2.0,57.0,China,Semiconductor,Technology
1552,1516,Bianca Rinehart,2.0,46.0,Australia,Mining,Metals & Mining
1553,1516,Shilong Zhang & family,2.0,57.0,China,Semiconductor,Technology
1554,1516,Phongthep Chiaravanont,2.0,71.0,Thailand,Diversified,Diversified
1555,1516,Martin Lau,2.0,50.0,Hong Kong,E-commerce,Technology
1556,1516,P.V. Krishna Reddy,2.0,53.0,India,Infrastructure,Construction & Engineering
1557,1516,Zhang Fan,2.0,57.0,China,Touch screens,Technology
1558,1516,Huwen Chen,2.0,52.0,China,Stationery,Manufacturing
1559,1516,Heikki Kyostila,2.0,77.0,Finland,Dental products,Healthcare
1560,1516,Linda Pritzker,2.0,69.0,United States,"Hotels, investments",Service
1561,1516,Ales Zavoral,2.0,46.0,Czech Republic,E-commerce,Fashion & Retail
1562,1516,Andrey Andreev,2.0,49.0,United Kingdom,Online dating,Technology
1563,1516,Huang Qiaoling,2.0,64.0,China,Amusement parks,Media & Entertainment
1564,1516,Cunhui Nan,2.0,59.0,China,Power equipment,Manufacturing
1565,1516,Larry Tanenbaum,2.0,77.0,Canada,Sports,Sports
1566,1516,Mohamed Al Fayed,2.0,94.0,Egypt,"Retail, investments",Fashion & Retail
1567,1516,Huang Dawen,2.0,62.0,Hong Kong,Silicon,Manufacturing
1568,1516,Craig McCaw,2.0,73.0,United States,Telecom,Telecom
1569,1516,Otto Toto Sugiri,2.0,69.0,Indonesia,Data centers,Technology
1570,1516,Michael Ashcroft,2.0,77.0,United Kingdom,Security,Finance & Investments
1571,1516,Rajiv Jain,2.0,55.0,United States,Finance,Finance & Investments
1572,1516,Tengyun Nie & family,2.0,47.0,China,Logistics,Service
1573,1516,Wichai Thongtang,2.0,76.0,Thailand,Investments,Finance & Investments
1574,1575,Nicola Bulgari,1.9,82.0,Italy,Luxury goods,Fashion & Retail
1575,1575,Bulent Eczacibasi,1.9,73.0,Turkey,"Pharmaceuticals, diversified",Diversified
1576,1575,Caroline Hagen Kjos,1.9,39.0,Norway,Conglomerate,Diversified
1577,1575,Shi Wen-long,1.9,95.0,Taiwan,Plastics,Manufacturing
1578,1575,Zhang Hongwei,1.9,68.0,China,"Oil, banking",Diversified
1579,1575,"Howard Butt, III. & family",1.9,71.0,United States,Supermarkets,Fashion & Retail
1580,1575,Faruk Eczacibasi,1.9,68.0,Turkey,"Pharmaceuticals, diversified",Diversified
1581,1575,Roberto Hernandez Ramirez,1.9,81.0,Mexico,"Banking, investments",Finance & Investments
1582,1575,Strive Masiyiwa,1.9,62.0,Zimbabwe,Telecom,Telecom
1583,1575,Peter Sondakh,1.9,73.0,Indonesia,Investments,Finance & Investments
1584,1575,Anita Zucker,1.9,71.0,United States,Chemicals,Manufacturing
1585,1575,Stephen Butt & family,1.9,67.0,United States,Supermarkets,Fashion & Retail
1586,1575,Eduardo Eurnekian,1.9,90.0,Argentina,"Airports, investments",Diversified
1587,1575,Reid Hoffman,1.9,55.0,United States,LinkedIn,Technology
1588,1575,Robert Miller,1.9,89.0,United Kingdom,Retail,Fashion & Retail
1589,1575,Lucy Stitzer,1.9,63.0,United States,Cargill,Food & Beverage
1590,1575,Mika Anttonen,1.9,56.0,Finland,Oil & gas,Energy
1591,1575,Mark Davis,1.9,67.0,United States,Las Vegas Raiders,Sports
1592,1575,James Leprino,1.9,85.0,United States,Cheese,Food & Beverage
1593,1575,Dwight Schar,1.9,81.0,United States,"Homebuilding, NFL team",Construction & Engineering
1594,1575,Charlotte Colket Weber,1.9,80.0,United States,Campbell Soup,Food & Beverage
1595,1575,Roberto Angelini Rossi,1.9,74.0,Chile,"Forestry, mining",Diversified
1596,1575,Sol Daurella,1.9,57.0,Spain,Coca-Cola bottler,Food & Beverage
1598,1575,Larry Robbins,1.9,53.0,United States,Hedge funds,Finance & Investments
1599,1575,Wang Ren-sheng,1.9,91.0,Taiwan,Retail,Fashion & Retail
1600,1575,Alexandra Daitch,1.9,60.0,United States,Cargill,Food & Beverage
1601,1575,Edward Lampert,1.9,60.0,United States,Sears,Finance & Investments
1602,1575,Ren Jianhua,1.9,66.0,China,Kitchen appliances,Manufacturing
1603,1575,Wang Chaobin,1.9,67.0,China,Real estate,Real Estate
1604,1575,Prathip Chiravanond,1.9,74.0,Thailand,Diversified,Diversified
1605,1575,Dominika Kulczyk,1.9,45.0,Poland,Diversified,Finance & Investments
1606,1575,G. Rajendran,1.9,80.0,India,Jewellery,Fashion & Retail
1607,1575,Jitendra Virwani,1.9,57.0,India,Real estate,Real Estate
1609,1575,Richard Kayne,1.9,77.0,United States,Investments,Finance & Investments
1610,1575,Jennifer Pritzker,1.9,72.0,United States,"Hotels, investments",Finance & Investments
1611,1575,Vardis Vardinoyannis & family,1.9,90.0,Greece,Oil and gas,Energy
1612,1575,Chen Zhisong,1.9,57.0,China,Communication equipment,Technology
1613,1575,Scott Kapnick,1.9,64.0,United States,Private equity,Finance & Investments
1614,1575,Narendrakumar Parekh,1.9,84.0,India,Adhesives,Manufacturing
1615,1575,Masateru Uno & family,1.9,76.0,Japan,Drugstores,Fashion & Retail
1617,1575,Surjit Kumar Gupta,1.9,81.0,India,Electrical equipment,Manufacturing
1618,1575,Hui Wing Mau,1.9,72.0,Hong Kong,Real estate,Real Estate
1619,1575,Ajay Parekh,1.9,65.0,India,Adhesives,Manufacturing
1620,1575,Mehmet Sinan Tara,1.9,64.0,Turkey,Construction,Construction & Engineering
1621,1575,Huxiong Chen,1.9,52.0,China,Stationery,Manufacturing
1622,1575,Guo Zhenyu & family,1.9,59.0,Canada,Cosmetics,Fashion & Retail
1623,1575,"B. Wayne Hughes, Jr.",1.9,63.0,United States,Storage facilities,Real Estate
1624,1575,Kentaro Ogawa,1.9,74.0,Japan,Restaurants,Food & Beverage
1625,1575,Hermanto Tanoko,1.9,60.0,Indonesia,Paints,Manufacturing
1626,1575,Jianxing Che,1.9,56.0,China,Furniture retailing,Fashion & Retail
1627,1575,David Fong,1.9,65.0,Hong Kong,Real estate,Real Estate
1628,1575,Hu Rongda & family,1.9,64.0,China,Chemicals,Manufacturing
1629,1575,Simon Nixon,1.9,55.0,United Kingdom,Price comparison website,Technology
1630,1575,Elizabeth Sy,1.9,70.0,Philippines,Diversified,Diversified
1631,1575,Julio Bozano,1.9,87.0,Brazil,Banking,Finance & Investments
1632,1575,Dong Fan,1.9,53.0,China,Medical devices,Healthcare
1633,1575,Lin Dingqiang & family,1.9,56.0,Hong Kong,Real estate,Real Estate
1634,1575,Qinxiang Shao,1.9,68.0,China,Diversified,Manufacturing
1635,1575,Chuanhua Xu & family,1.9,88.0,China,"Chemicals, logistics",Manufacturing
1636,1575,David Blitzer,1.9,53.0,United States,Sports,Sports
1637,1575,James Dinan,1.9,63.0,United States,Hedge funds,Finance & Investments
1638,1575,David Lichtenstein,1.9,61.0,United States,Real estate,Real Estate
1640,1575,Xie Juhua & family,1.9,72.0,China,Pharmaceuticals,Healthcare
1641,1575,Nikolai Buinov,1.9,55.0,Russia,"Oil, gas",Energy
1642,1575,Fritz Draexlmaier,1.9,About 65 years,Germany,Auto parts,Automotive
1643,1575,Sarah MacMillan,1.9,69.0,United States,Cargill,Food & Beverage
1644,1575,Hua Shen,1.9,60.0,United States,Semiconductors,Technology
1645,1575,Gavril Yushvaev & family,1.9,65.0,Russia,"Precious metals, real estate",Finance & Investments
1646,1647,Mark Coombs,1.8,62.0,United Kingdom,Finance,Finance & Investments
1647,1647,Valentin Kipyatkov,1.8,46.0,Cyprus,Software,Technology
1648,1647,Ezra Nahmad,1.8,77.0,Monaco,Art,Finance & Investments
1649,1647,Suh Kyung-bae,1.8,60.0,South Korea,Cosmetics,Fashion & Retail
1650,1647,Amy Wyss,1.8,52.0,United States,Medical equipment,Healthcare
1651,1647,John de Mol,1.8,68.0,Netherlands,TV programs,Media & Entertainment
1652,1647,Koo Kwang-mo,1.8,45.0,South Korea,LG,Diversified
1653,1647,Satyanarayan Nuwal,1.8,70.0,India,Industrial explosives,Manufacturing
1654,1647,Bambang Sutantio,1.8,64.0,Indonesia,Dairy & consumer products,Food & Beverage
1655,1647,Yan Zhi,1.8,50.0,China,Real estate,Real Estate
1656,1647,Cameron Adams,1.8,43.0,Australia,Software,Technology
1657,1647,D. Leopoldo Del Pino,1.8,60.0,Spain,Construction,Construction & Engineering
1658,1647,George Kurtz,1.8,52.0,United States,Security software,Technology
1660,1647,Sze Man Bok,1.8,73.0,China,Hygiene products,Manufacturing
1661,1647,Yoshiaki Yoshida,1.8,82.0,Japan,cosmetics,Fashion & Retail
1662,1647,R.G. Chandramogan,1.8,74.0,India,Dairy,Food & Beverage
1663,1647,Wei Huang,1.8,63.0,China,Real estate,Real Estate
1664,1647,Robert G. Miller,1.8,77.0,Canada,Electronics components,Technology
1665,1647,Anatoly Sedykh,1.8,58.0,Russia,Steel pipes,Metals & Mining
1666,1647,Evan Williams,1.8,51.0,United States,Twitter,Technology
1667,1647,Alejandro Bulgheroni,1.8,78.0,Argentina,Oil & gas,Energy
1668,1647,Brian Higgins,1.8,58.0,United States,Hedge funds,Finance & Investments
1669,1647,Gary Michelson,1.8,74.0,United States,Medical patents,Healthcare
1671,1647,Todd Wagner,1.8,62.0,United States,Online media,Media & Entertainment
1672,1647,O. Francis Biondi,1.8,58.0,United States,Hedge funds,Finance & Investments
1673,1647,Yusuf Hamied,1.8,86.0,India,Pharmaceuticals,Healthcare
1674,1647,Roberto Irineu Marinho,1.8,75.0,Brazil,Media,Media & Entertainment
1675,1647,Vinod Saraf,1.8,70.0,India,Chemicals,Manufacturing
1676,1647,Nikil Viswanathan,1.8,35.0,United States,Blockchain technology,Technology
1677,1647,Sanjeev Bikhchandani,1.8,59.0,India,Internet,Technology
1678,1647,Christopher Goldsbury,1.8,80.0,United States,Salsa,Food & Beverage
1679,1647,Jose Roberto Marinho,1.8,67.0,Brazil,Media,Media & Entertainment
1680,1647,Krit Ratanarak,1.8,76.0,Thailand,"Media, real estate",Media & Entertainment
1681,1647,Martin Viessmann,1.8,69.0,Germany,Heating and cooling equipment,Manufacturing
1682,1647,Sabrina Benetton,1.8,49.0,Italy,"Fashion retail, investments",Fashion & Retail
1683,1647,Jayme Garfinkel & family,1.8,77.0,Brazil,Insurance,Finance & Investments
1684,1647,Joao Roberto Marinho,1.8,69.0,Brazil,Media,Media & Entertainment
